NACA 0009

Angle of Attack = 0
Transition
Upper Surface = 100 %
Lower Surface = 100 %
Mach = 0
Surface Finish = smooth finish
Stall model: Calcfoil
Transition model: Eppler standard

Re = 100000
x/c	y/c	v/V	δ_1	δ_2	δ_3	Reδ_2	C_f	H_12	H_32	State	y1
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]
1.0000	0.0000	0.1161	0.013793	0.003711	0.007110	43.1	0.0000	3.7169	1.9160	sep.	0.0000
0.9990	0.0001	0.7469	0.013793	0.003711	0.007110	277.2	0.0000	3.7169	1.9160	sep.	0.0000
0.9961	0.0004	0.8481	0.013793	0.003711	0.007110	314.7	0.0000	3.7169	1.9160	turb.	0.0000
0.9911	0.0009	0.8861	0.007804	0.003852	0.006008	350.4	0.0018	2.0258	1.5596	turb.	0.0332
0.9843	0.0017	0.9096	0.006814	0.003569	0.005649	330.8	0.0022	1.9090	1.5827	turb.	0.0302
0.9755	0.0026	0.9272	0.006175	0.003353	0.005356	315.6	0.0025	1.8417	1.5976	turb.	0.0285
0.9649	0.0036	0.9414	0.005724	0.003177	0.005106	302.9	0.0026	1.8017	1.6070	turb.	0.0275
0.9524	0.0049	0.9535	0.005380	0.003025	0.004878	291.7	0.0028	1.7786	1.6126	turb.	0.0269
0.9382	0.0063	0.9642	0.005115	0.002892	0.004671	281.6	0.0028	1.7686	1.6151	turb.	0.0266
0.9222	0.0079	0.9737	0.004907	0.002773	0.004479	272.4	0.0028	1.7694	1.6150	turb.	0.0265
0.9045	0.0096	0.9825	0.004739	0.002662	0.004291	263.6	0.0028	1.7804	1.6122	turb.	0.0266
0.8853	0.0114	0.9905	0.004610	0.002558	0.004110	255.3	0.0027	1.8025	1.6069	turb.	0.0270
0.8645	0.0133	0.9981	0.004519	0.002460	0.003933	247.2	0.0026	1.8372	1.5987	turb.	0.0276
0.8423	0.0153	1.0052	0.004468	0.002367	0.003757	239.5	0.0024	1.8881	1.5874	turb.	0.0286
0.8187	0.0173	1.0119	0.004465	0.002279	0.003585	232.1	0.0022	1.9590	1.5727	turb.	0.0301
0.7939	0.0194	1.0184	0.004521	0.002198	0.003416	225.2	0.0019	2.0570	1.5543	turb.	0.0322
0.7679	0.0216	1.0247	0.004655	0.002121	0.003248	218.6	0.0016	2.1946	1.5316	turb.	0.0355
0.7409	0.0237	1.0308	0.007514	0.002049	0.003109	212.4	0.0003	3.6682	1.5176	lam.	0.0841
0.7129	0.0259	1.0369	0.006745	0.001978	0.003012	206.3	0.0006	3.4098	1.5228	lam.	0.0597
0.6841	0.0280	1.0428	0.006250	0.001910	0.002916	200.3	0.0008	3.2724	1.5270	lam.	0.0513
