NACA 0009

Angle of Attack = -10
Transition
Upper Surface = 100 %
Lower Surface = 100 %
Mach = 0
Surface Finish = smooth finish
Stall model: Calcfoil
Transition model: Eppler standard

Re = 100000
x/c	y/c	v/V	δ_1	δ_2	δ_3	Reδ_2	C_f	H_12	H_32	State	y1
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]
1.0000	0.0000	0.1144	0.006839	0.002050	0.003561	23.4	0.0000	3.3357	1.7371	sep.	0.0000
0.9990	0.0001	0.7301	0.006839	0.002050	0.003561	149.7	0.0000	3.3357	1.7371	sep.	0.0000
0.9961	0.0004	0.8263	0.006839	0.002050	0.003561	169.4	0.0000	3.3357	1.7371	sep.	0.0000
0.9911	0.0009	0.8590	0.006839	0.002050	0.003561	176.1	0.0000	3.3357	1.7371	turb.	0.0000
0.9843	0.0017	0.8773	0.004892	0.002101	0.003176	186.8	0.0014	2.3288	1.5121	turb.	0.0385
0.9755	0.0026	0.8894	0.006560	0.002000	0.003052	179.6	0.0008	3.2809	1.5266	lam.	0.0490
0.9649	0.0036	0.8981	0.005628	0.001921	0.002965	173.7	0.0016	2.9300	1.5439	lam.	0.0358
0.9524	0.0049	0.9046	0.005161	0.001858	0.002890	169.0	0.0020	2.7777	1.5553	lam.	0.0315
0.9382	0.0063	0.9094	0.004857	0.001807	0.002824	164.9	0.0023	2.6883	1.5632	lam.	0.0292
0.9222	0.0079	0.9130	0.004630	0.001762	0.002764	161.3	0.0026	2.6283	1.5689	lam.	0.0277
0.9045	0.0096	0.9156	0.004447	0.001720	0.002707	157.8	0.0028	2.5850	1.5733	lam.	0.0267
0.8853	0.0114	0.9173	0.004299	0.001681	0.002651	154.4	0.0030	2.5566	1.5766	lam.	0.0258
0.8645	0.0133	0.9183	0.004168	0.001644	0.002596	151.1	0.0032	2.5350	1.5791	lam.	0.0252
0.8423	0.0153	0.9187	0.004048	0.001607	0.002542	147.6	0.0033	2.5182	1.5812	lam.	0.0246
0.8187	0.0173	0.9185	0.003936	0.001571	0.002487	144.2	0.0034	2.5050	1.5828	lam.	0.0241
0.7939	0.0194	0.9178	0.003829	0.001535	0.002431	140.7	0.0036	2.4945	1.5841	lam.	0.0236
0.7679	0.0216	0.9165	0.003724	0.001498	0.002374	137.0	0.0037	2.4859	1.5851	lam.	0.0232
0.7409	0.0237	0.9149	0.003619	0.001460	0.002316	133.3	0.0039	2.4785	1.5860	lam.	0.0227
0.7129	0.0259	0.9127	0.003513	0.001421	0.002255	129.3	0.0040	2.4721	1.5869	lam.	0.0223
0.6841	0.0280	0.9101	0.003407	0.001382	0.002193	125.3	0.0042	2.4662	1.5876	lam.	0.0219
0.6545	0.0301	0.9071	0.003298	0.001340	0.002129	121.1	0.0044	2.4605	1.5883	lam.	0.0214
0.6243	0.0321	0.9036	0.003187	0.001298	0.002063	116.8	0.0046	2.4549	1.5890	lam.	0.0209
0.5937	0.0341	0.8996	0.003073	0.001255	0.001995	112.3	0.0048	2.4492	1.5898	lam.	0.0205
0.5627	0.0359	0.8950	0.002958	0.001211	0.001926	107.7	0.0050	2.4432	1.5905	lam.	0.0200
0.5314	0.0376	0.8898	0.002839	0.001165	0.001854	103.0	0.0053	2.4369	1.5913	lam.	0.0194
0.5000	0.0392	0.8839	0.002718	0.001118	0.001781	98.1	0.0056	2.4303	1.5922	lam.	0.0189
0.4686	0.0407	0.8771	0.002594	0.001071	0.001705	93.1	0.0060	2.4232	1.5931	lam.	0.0183
0.4373	0.0419	0.8695	0.002469	0.001022	0.001629	88.0	0.0064	2.4156	1.5941	lam.	0.0177
0.4063	0.0430	0.8607	0.002344	0.000974	0.001553	82.8	0.0069	2.4076	1.5952	lam.	0.0171
0.3757	0.0438	0.8506	0.002216	0.000924	0.001475	77.5	0.0074	2.3992	1.5963	lam.	0.0164
0.3455	0.0444	0.8390	0.002090	0.000874	0.001396	72.2	0.0080	2.3904	1.5975	lam.	0.0158
0.3159	0.0447	0.8256	0.001961	0.000824	0.001317	66.7	0.0088	2.3813	1.5987	lam.	0.0151
0.2871	0.0447	0.8102	0.001835	0.000774	0.001238	61.3	0.0097	2.3716	1.6000	lam.	0.0144
0.2591	0.0445	0.7924	0.001708	0.000723	0.001158	55.8	0.0108	2.3615	1.6014	lam.	0.0136
0.2321	0.0439	0.7717	0.001581	0.000673	0.001078	50.3	0.0122	2.3511	1.6029	lam.	0.0128
0.2061	0.0431	0.7476	0.001456	0.000622	0.000999	44.8	0.0139	2.3399	1.6045	lam.	0.0120
0.1813	0.0419	0.7195	0.001332	0.000572	0.000919	39.3	0.0161	2.3279	1.6062	lam.	0.0112
0.1577	0.0405	0.6864	0.001209	0.000522	0.000840	33.8	0.0190	2.3151	1.6080	lam.	0.0103
0.1355	0.0388	0.6472	0.001088	0.000473	0.000761	28.4	0.0230	2.3006	1.6101	lam.	0.0093
0.1147	0.0367	0.6004	0.000966	0.000423	0.000682	23.0	0.0290	2.2859	1.6123	lam.	0.0083
0.0955	0.0344	0.5440	0.000848	0.000374	0.000604	17.8	0.0384	2.2688	1.6149	lam.	0.0072
0.0778	0.0319	0.4749	0.000730	0.000324	0.000524	12.6	0.0554	2.2519	1.6176	lam.	0.0060
0.0618	0.0291	0.3888	0.000618	0.000277	0.000449	7.8	0.0924	2.2307	1.6209	lam.	0.0047
0.0476	0.0261	0.2791	0.000782	0.000349	0.000565	4.7	0.1499	2.2404	1.6193	lam.	0.0037
0.0351	0.0228	0.1353	0.000118	0.000053	0.000086	0.3	0.0001	2.2364	1.6200	lam.	0.1414
0.0245	0.0194	0.0596	0.000001	0.000000	0.000001	0.0	0.0000	2.2364	1.6200	lam.	0.0000
0.0157	0.0158	0.3348	0.000114	0.000051	0.000082	0.3	0.0001	2.2364	1.6200	lam.	0.1414
0.0089	0.0121	0.7401	0.000380	0.000170	0.000276	5.7	0.1252	2.2353	1.6202	lam.	0.0040
0.0039	0.0082	1.3519	0.000286	0.000128	0.000208	9.6	0.0750	2.2312	1.6208	lam.	0.0052
0.0010	0.0041	2.2033	0.000211	0.000095	0.000154	13.0	0.0560	2.2220	1.6222	lam.	0.0060
0.0000	0.0000	2.9985	0.000206	0.000092	0.000150	17.4	0.0413	2.2307	1.6209	lam.	0.0070
0.0010	-0.0041	3.2522	0.000206	0.000092	0.000149	24.6	0.0292	2.2333	1.6205	lam.	0.0083
0.0039	-0.0082	3.0236	0.000236	0.000102	0.000164	33.3	0.0195	2.3108	1.6087	lam.	0.0101
0.0089	-0.0121	2.7047	0.000566	0.017831	0.000292	4822.9	0.0000	0.0317	0.0164	turb.	0.0000
0.0157	-0.0158	2.4387	0.000566	0.017831	0.000292	4348.5	0.0000	0.0317	0.0164	sep.	0.0000
0.0245	-0.0194	2.2346	0.000566	0.017831	0.000292	3984.5	0.0000	0.0317	0.0164	sep.	0.0000
0.0351	-0.0228	2.0782	0.000566	0.017831	0.000292	3705.7	0.0000	0.0317	0.0164	sep.	0.0000
0.0476	-0.0261	1.9559	0.000566	0.017831	0.000292	3487.7	0.0000	0.0317	0.0164	sep.	0.0000
0.0618	-0.0291	1.8581	0.000566	0.017831	0.000292	3313.4	0.0000	0.0317	0.0164	sep.	0.0000
0.0778	-0.0319	1.7780	0.000566	0.017831	0.000292	3170.5	0.0000	0.0317	0.0164	sep.	0.0000
0.0955	-0.0344	1.7110	0.000566	0.017831	0.000292	3050.9	0.0000	0.0317	0.0164	sep.	0.0000
0.1147	-0.0367	1.6537	0.000566	0.017831	0.000292	2948.8	0.0000	0.0317	0.0164	sep.	0.0000
0.1355	-0.0388	1.6040	0.000566	0.017831	0.000292	2860.1	0.0000	0.0317	0.0164	sep.	0.0000
0.1577	-0.0405	1.5601	0.000566	0.017831	0.000292	2781.9	0.0000	0.0317	0.0164	sep.	0.0000
0.1813	-0.0419	1.5208	0.000566	0.017831	0.000292	2711.9	0.0000	0.0317	0.0164	sep.	0.0000
0.2061	-0.0431	1.4853	0.000566	0.017831	0.000292	2648.5	0.0000	0.0317	0.0164	sep.	0.0000
0.2321	-0.0439	1.4528	0.000566	0.017831	0.000292	2590.6	0.0000	0.0317	0.0164	sep.	0.0000
0.2591	-0.0445	1.4229	0.000566	0.017831	0.000292	2537.2	0.0000	0.0317	0.0164	sep.	0.0000
0.2871	-0.0447	1.3950	0.000566	0.017831	0.000292	2487.5	0.0000	0.0317	0.0164	sep.	0.0000
0.3159	-0.0447	1.3690	0.000566	0.017831	0.000292	2441.1	0.0000	0.0317	0.0164	sep.	0.0000
0.3455	-0.0444	1.3446	0.000566	0.017831	0.000292	2397.6	0.0000	0.0317	0.0164	sep.	0.0000
0.3757	-0.0438	1.3216	0.000566	0.017831	0.000292	2356.5	0.0000	0.0317	0.0164	sep.	0.0000
0.4063	-0.0430	1.2998	0.000566	0.017831	0.000292	2317.7	0.0000	0.0317	0.0164	sep.	0.0000
0.4373	-0.0419	1.2791	0.000566	0.017831	0.000292	2280.9	0.0000	0.0317	0.0164	sep.	0.0000
0.4686	-0.0407	1.2595	0.000566	0.017831	0.000292	2245.9	0.0000	0.0317	0.0164	sep.	0.0000
0.5000	-0.0392	1.2408	0.000566	0.017831	0.000292	2212.6	0.0000	0.0317	0.0164	sep.	0.0000
0.5314	-0.0376	1.2230	0.000566	0.017831	0.000292	2180.8	0.0000	0.0317	0.0164	sep.	0.0000
0.5627	-0.0359	1.2059	0.000566	0.017831	0.000292	2150.3	0.0000	0.0317	0.0164	sep.	0.0000
0.5937	-0.0341	1.1895	0.000566	0.017831	0.000292	2121.1	0.0000	0.0317	0.0164	sep.	0.0000
0.6243	-0.0321	1.1738	0.000566	0.017831	0.000292	2093.0	0.0000	0.0317	0.0164	sep.	0.0000
0.6545	-0.0301	1.1586	0.000566	0.017831	0.000292	2065.9	0.0000	0.0317	0.0164	sep.	0.0000
0.6841	-0.0280	1.1438	0.000566	0.017831	0.000292	2039.6	0.0000	0.0317	0.0164	sep.	0.0000
0.7129	-0.0259	1.1295	0.000566	0.017831	0.000292	2014.1	0.0000	0.0317	0.0164	sep.	0.0000
0.7409	-0.0237	1.1155	0.000566	0.017831	0.000292	1989.1	0.0000	0.0317	0.0164	sep.	0.0000
0.7679	-0.0216	1.1018	0.000566	0.017831	0.000292	1964.6	0.0000	0.0317	0.0164	sep.	0.0000
0.7939	-0.0194	1.0882	0.000566	0.017831	0.000292	1940.4	0.0000	0.0317	0.0164	sep.	0.0000
0.8187	-0.0173	1.0746	0.000566	0.017831	0.000292	1916.2	0.0000	0.0317	0.0164	sep.	0.0000
0.8423	-0.0153	1.0611	0.000566	0.017831	0.000292	1892.1	0.0000	0.0317	0.0164	sep.	0.0000
0.8645	-0.0133	1.0475	0.000566	0.017831	0.000292	1867.8	0.0000	0.0317	0.0164	sep.	0.0000
0.8853	-0.0114	1.0337	0.000566	0.017831	0.000292	1843.2	0.0000	0.0317	0.0164	sep.	0.0000
0.9045	-0.0096	1.0195	0.000566	0.017831	0.000292	1817.9	0.0000	0.0317	0.0164	sep.	0.0000
0.9222	-0.0079	1.0049	0.000566	0.017831	0.000292	1791.8	0.0000	0.0317	0.0164	sep.	0.0000
