NACA 0009

Angle of Attack = 5
Transition
Upper Surface = 100 %
Lower Surface = 100 %
Mach = 0
Surface Finish = smooth finish
Stall model: Calcfoil
Transition model: Eppler standard

Re = 100000
x/c	y/c	v/V	δ_1	δ_2	δ_3	Reδ_2	C_f	H_12	H_32	State	y1
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]
1.0000	0.0000	0.1157	0.028320	0.008068	0.014717	93.3	0.0000	3.5102	1.8242	sep.	0.0000
0.9990	0.0001	0.7468	0.028320	0.008068	0.014717	602.5	0.0000	3.5102	1.8242	sep.	0.0000
0.9961	0.0004	0.8494	0.028320	0.008068	0.014717	685.3	0.0000	3.5102	1.8242	turb.	0.0000
0.9911	0.0009	0.8895	0.017898	0.008423	0.012990	771.1	0.0013	2.1248	1.5422	turb.	0.0391
0.9843	0.0017	0.9155	0.015020	0.007713	0.012145	721.5	0.0017	1.9475	1.5747	turb.	0.0340
0.9755	0.0026	0.9355	0.013271	0.007195	0.011489	685.0	0.0020	1.8445	1.5969	turb.	0.0313
0.9649	0.0036	0.9523	0.012008	0.006770	0.010926	654.7	0.0023	1.7737	1.6138	turb.	0.0294
0.9524	0.0049	0.9672	0.011031	0.006407	0.010425	628.2	0.0025	1.7218	1.6272	turb.	0.0281
0.9382	0.0063	0.9806	0.010255	0.006093	0.009980	605.1	0.0027	1.6830	1.6378	turb.	0.0272
0.9222	0.0079	0.9931	0.009614	0.005816	0.009575	584.3	0.0029	1.6531	1.6464	turb.	0.0264
0.9045	0.0096	1.0048	0.009054	0.005559	0.009192	564.7	0.0030	1.6289	1.6536	turb.	0.0258
0.8853	0.0114	1.0160	0.008561	0.005320	0.008829	546.1	0.0031	1.6093	1.6597	turb.	0.0253
0.8645	0.0133	1.0267	0.008118	0.005095	0.008482	528.4	0.0032	1.5933	1.6647	turb.	0.0249
0.8423	0.0153	1.0371	0.007710	0.004880	0.008144	511.0	0.0033	1.5800	1.6690	turb.	0.0245
0.8187	0.0173	1.0473	0.007335	0.004675	0.007819	494.3	0.0034	1.5691	1.6726	turb.	0.0242
0.7939	0.0194	1.0573	0.006986	0.004478	0.007503	477.9	0.0035	1.5600	1.6756	turb.	0.0239
0.7679	0.0216	1.0673	0.006652	0.004285	0.007191	461.6	0.0036	1.5524	1.6782	turb.	0.0237
0.7409	0.0237	1.0773	0.006333	0.004096	0.006883	445.3	0.0036	1.5461	1.6803	turb.	0.0234
0.7129	0.0259	1.0873	0.006024	0.003909	0.006576	429.1	0.0037	1.5408	1.6822	turb.	0.0232
0.6841	0.0280	1.0975	0.005728	0.003728	0.006277	413.0	0.0038	1.5365	1.6837	turb.	0.0230
0.6545	0.0301	1.1079	0.005437	0.003547	0.005976	396.7	0.0038	1.5329	1.6849	turb.	0.0229
0.6243	0.0321	1.1185	0.005157	0.003371	0.005682	380.6	0.0039	1.5300	1.6859	turb.	0.0227
0.5937	0.0341	1.1294	0.004880	0.003194	0.005388	364.3	0.0039	1.5278	1.6867	turb.	0.0225
0.5627	0.0359	1.1406	0.004612	0.003022	0.005099	348.2	0.0040	1.5262	1.6873	turb.	0.0224
