Name = NACA 0009
Re = 100000
Alpha	Cl	Cd	Cm	x_cp
[deg]	[-]	[-]	[-]	[-]
-4.0	-0.23537	0.00862	0.04884	0.07094
-3.9	-0.22949	0.00861	0.04762	0.07096
-3.8	-0.22362	0.00861	0.04641	0.07098
-3.7	-0.21774	0.00861	0.04520	0.07100
-3.6	-0.21187	0.00861	0.04398	0.07102
-3.5	-0.20599	0.00861	0.04276	0.07104
-3.4	-0.20011	0.00861	0.04155	0.07106
-3.3	-0.19423	0.00861	0.04033	0.07108
-3.2	-0.18835	0.00861	0.03912	0.07110
-3.1	-0.18247	0.00861	0.03790	0.07112
-3.0	-0.17659	0.00860	0.03668	0.07113
-2.9	-0.17071	0.00860	0.03546	0.07115
-2.8	-0.16483	0.00860	0.03424	0.07117
-2.7	-0.15894	0.00860	0.03302	0.07118
-2.6	-0.15306	0.00860	0.03180	0.07120
-2.5	-0.14718	0.00860	0.03058	0.07121
-2.4	-0.14130	0.00860	0.02936	0.07123
-2.3	-0.13541	0.00860	0.02814	0.07124
-2.2	-0.12953	0.00860	0.02692	0.07125
-2.1	-0.12364	0.00860	0.02570	0.07126
-2.0	-0.11776	0.00860	0.02448	0.07128
-1.9	-0.11187	0.00860	0.02326	0.07129
-1.8	-0.10598	0.00859	0.02203	0.07130
-1.7	-0.10010	0.00859	0.02081	0.07131
-1.6	-0.09421	0.00859	0.01959	0.07132
-1.5	-0.08833	0.00859	0.01837	0.07133
-1.4	-0.08244	0.00859	0.01714	0.07133
-1.3	-0.07655	0.00859	0.01592	0.07134
-1.2	-0.07066	0.00859	0.01469	0.07135
-1.1	-0.06478	0.00859	0.01347	0.07136
-1.0	-0.05889	0.00859	0.01225	0.07136
-0.9	-0.05300	0.00859	0.01102	0.07137
-0.8	-0.04711	0.00859	0.00980	0.07137
-0.7	-0.04122	0.00859	0.00857	0.07138
-0.6	-0.03533	0.00859	0.00735	0.07138
-0.5	-0.02944	0.00859	0.00612	0.07138
